AwoDev_AwoRewards::Registration,Registration,,
AwoDev_AwoRewards::release notes,release notes,,
AwoDev_AwoRewards::Request Coupon Payment,Request Coupon Payment,,
AwoDev_AwoRewards::Request Coupon Reward Payout,Request Coupon Reward Payout,,
AwoDev_AwoRewards::Request Paypal Reward Payout,Request Paypal Reward Payout,,
AwoDev_AwoRewards::Reward,Reward,,
AwoDev_AwoRewards::Rewards,Mes parrainages,,
AwoDev_AwoRewards::Rule,Rule,,
AwoDev_AwoRewards::Rule Expiration,Rule Expiration,,
AwoDev_AwoRewards::Rule Name,Rule name,,
AwoDev_AwoRewards::Rule Type,Type de parrainage,,
AwoDev_AwoRewards::Rules,Rules,,
AwoDev_AwoRewards::Sandbox,Sandbox,,
AwoDev_AwoRewards::Save Credit,Sauvegarder le crédit,,
AwoDev_AwoRewards::Save Invitation,Sauvegarder l'invitation,,
AwoDev_AwoRewards::Save Referral,Sauvegarder le referral,,
AwoDev_AwoRewards::Save Rule,Sauvegarder la règle,,
AwoDev_AwoRewards::Sender,Sender,,
AwoDev_AwoRewards::Sender Transaction ID,Sender Transaction ID,,
AwoDev_AwoRewards::Setting a rule expiration date and time means 2 things. 1) The rule expires at the expiration time. 2) Only registrations/orders made up until expiration will be accounted for by the rule.,Setting a rule expiration date and time means 2 things. 1) The rule expires at the expiration time. 2) Only registrations/orders made up until expiration will be accounted for by the rule.,,
AwoDev_AwoRewards::Setting a rule start date and time means 2 things. 1) The rule is valid from the start date onwards. 2) Only registrations/orders made from the start date onwards will be accounted for by the rule.,Setting a rule start date and time means 2 things. 1) The rule is valid from the start date onwards. 2) Only registrations/orders made from the start date onwards will be accounted for by the rule.,,
AwoDev_AwoRewards::Shorten registration url,Shorten registration url,,
AwoDev_AwoRewards::Signature,Signature,,
AwoDev_AwoRewards::Sponsor,Sponsor,,
AwoDev_AwoRewards::Sponsor Emails,Sponsor Emails,,
AwoDev_AwoRewards::Start Date,Start Date,,
AwoDev_AwoRewards::Start Date/Expiration,Start Date/Expiration,,
AwoDev_AwoRewards::Statistics Email Subject,Statistics Email Subject,,
AwoDev_AwoRewards::Statistics Email Template,Statistics Email Template,,
AwoDev_AwoRewards::Status,Status,,
AwoDev_AwoRewards::Submit,Envoyez,,
AwoDev_AwoRewards::Successfully posted,Posté avec succès,,
AwoDev_AwoRewards::Tags,Tags,,
AwoDev_AwoRewards::The item has been saved,The item has been saved,,
AwoDev_AwoRewards::The minimum value the order total(s) must reach for the reward (coupon/amount) to be generated. Please note this field works with minimum order total type field.,The minimum value the order total(s) must reach for the reward (coupon/amount) to be generated. Please note this field works with minimum order total type field.,,
AwoDev_AwoRewards::The order of a rule is important.  Only one rule within a specified rule type will be processed.  So the first rule found that the customer qualifies for will be used.,The order of a rule is important.  Only one rule within a specified rule type will be processed.  So the first rule found that the customer qualifies for will be used.,,
AwoDev_AwoRewards::The order to display in the front end dropdown,The order to display in the front end dropdown,,
"AwoDev_AwoRewards::The percentage of the order total end payment which will be given to a beneficiary. For example entering 2.5 and setting the customer type to sponsor will mean the sponsor will be credited with 2.5% of the order total completed by his/her friend. If the customer type is set to friend, then the customer receives a 2.5% cashback on their order.","The percentage of the order total end payment which will be given to a beneficiary. For example entering 2.5 and setting the customer type to sponsor will mean the sponsor will be credited with 2.5% of the order total completed by his/her friend. If the customer type is set to friend, then the customer receives a 2.5% cashback on their order.",,
AwoDev_AwoRewards::This field is required.,This field is required.,,
